Address,Amount
0xa617dfbe63586a6f0b7f275cf603213bd0597ea6,198.68
0xeb26da6b222d62a19479fdb61c8b7e82785cabac,198.45
0x43b19f0ecd61d234abfcffbc9e726c1f73e90220,189.59
0x3e9112f98449dcd0ea411dee882e30025ccebfed,180.77
0x0dd8b6e45e92a13fbb717312e58194f85f04d90a,180.20
0xcba6f849cc16c79f7f93c1e4d9768eb53ffab581,171.58
0xbb2b663396b866936fd12ef66207a6d12af7f8e0,169.82
0x76b52e20880c722ed4ae8a1210e132e9993abc21,162.39
0xf9b490950b975e7592b66a414bd7ee2d6035b522,156.96
0xc8d00de9b5b37ddbc5e5b142938c6f30ddc2e334,150.60
0xff4f4bbbe1076a315fac9c1138f70d4f00c18a5e,150.00
0xe051cac44c2a490a6885dc6c439cef8f5209b941,142.87
0x74468aa212719127cd152311e8379def4a11c98c,141.50
0x3c1d22b55c14bd0ef74852efd5ea266026711538,130.59
0xcd793f92e4fb39408c49bcee790278276a905d2a,129.23
0x3861de6d792caed96fc84d629a9edd2a54d2ec74,128.01
0xa88972eee66da2dd98d65223bb9bca0ca5a5d845,118.80
0x4602955211c80918a8ffee3fdc2a1cdd05562865,117.73
0xb15e5e1ce112a52e47e1da2dfc5d2957255180f4,115.91
0xb3057544b08def1b7875cb36f9ce8121487b0b9e,115.17
0x1167f565d9ea1d2f960145efa4b3d1f96c769bba,101.12
0xe32e8b84bf203a348bb2d0e3107060dc63b0794d,101.00
0x80419387e6fca2c19c69db62aa9671d1780d5450,100.93
0x43066306e54ca0a715625e4f6fbd927a7cf39ecc,100.00
0xdd8fd1ad5c17ee53eb9b78acdae7936a5ac87b6f,100.00
0x5ef1c20b3a134bacb796790c52b0c77dded6ddf4,100.00
0x130dcfe15948d4608c5828cc1309187b3767c971,100.00
0x6a96be9cc3d0d1c7a42cb6a542abe851f8eb9df6,100.00
0x5539b0c5ef124a90798dde0788526c70185f3c34,99.95
0x1d9fb83e9392d3770d1bf22b5d8c7beabc3a30e2,99.00
0x4bb3ff4c53e3078f5268247ae4d24f02285667f3,88.45
0xae463ec99cd9f57305fad21f21c784b30ad779ef,82.33
0x7bf137857465acbff5384265288542481766e5da,77.92
0x057afab820527fe2be186da78e8816d7b86785e2,75.69
0x8b300f6a9b0e616506bef48ff97f10f20874b254,74.17
0x125d7c86353fe92315b36b095d3d7e83bd1a97f2,73.92
0x8d884d540d6df15f1971250dcf0cab6856c78b54,70.00
0xbdd6711303c0ec290e81bbe0b005c4bcfb458979,65.80
0x21a5fef15c96d36c34f6db84ac747c9c6f29cc13,65.65
0xbce7d1e00718e235dc30a04b27753c92ef7fa703,64.63
0x202469390e8b1ecc1fd92d8111d60d9a3bf4a1e2,60.38
0xf1c0823eb2605e723869b68ff79b98572168037d,58.06
0xfe77df6c2db086939a752b9e777ccb347882b979,57.65
0x8518c781e08847292051122f02fd6d8be43db08a,57.13
0x6ee0997f9b5613d8d6e6899162d743ebf9552013,54.99
0xc5771676cb464150ae02405abd199b8de4d84046,50.34
0xcc5d4c8c499aa1ef8e3c12561932bf87db175dd9,50.00
0xca65748f7e050b00f691519926be1ddfa68e6546,49.95
0xae3772f9ff4954cb2f4fe9796f0478696d36dd4c,49.18
0x4459bc283c35bf1a269c6587d1b11d9e5441223a,44.84
0x65416fa18f3c3e1dbc70eb032ca3a53e85645315,42.90
0x2e082dc9e72ecaad0148b6fe2c2e42a3ebb3fdf5,39.90
0x3bd36a84e20ad8cd7b28563a5f2aa4ab26ce791b,38.98
0xe5b86f26f752d6eb11e4bb0c972b99dfecc08fdf,36.20
0xf73889f502f825928370b8221be290401273f1d3,34.30
0x3b98fe35aaa1908bad9fce3fafc916b827199be8,32.70
0xf69aa48e83220aaa65140c5948fd4142db5f28ed,30.71
0x26acf96dc19d37bdcc4a81f093cc6c21ba1ada6b,30.49
0x3357207285b84c53ef1929bd7a7e9bd80f716964,30.25
0x03199374576a7438e9317f9e1e5fde590fa7236f,30.08
0xe67d6f906fc0a671724315a0379b747f2c7e4e36,30.00
0x977d9872cb8f1fa0d163a332fdd49d84c792d470,28.20
0x69dfbb2143499dca15160ec9a673ffa7d71c908c,26.37
0x564d5266e2c9eccaeacc9f082db2c33fab822751,25.74
0x05cf3036cf0a5b592523facb36372689c2551928,25.39
0x42d4d173eac685fb451042d3ff44489b25776a83,25.30
0x8da0c60d83794e669afdb88da544076b83dafa4a,25.16
0x3d4621882561db7b89f59283fcffc21a10c44e30,23.85
0x6af18e457e331fb3ef91d4fdb6c6a43429ba7d8a,23.67
0x715ed209484c3112e52cdb488eefb403184e7134,22.87
0xc280585dd762e9e0e3bf4bb296eb4bcd31306550,22.84
0xca3036213f92d5a1e4267c94509d5102264816e5,20.85
0xdd215d3e826843a9dd7a6b490ec03a10c3cd1068,20.55
0x66953b6949b1ed525996bc8f4871730bb33905d7,20.28
0x1171414272793ec30cd574fd6d3d78b09f3f595b,20.00
0x8d1675de8a8ba609117d612c5b8e61956e0c12ec,19.82
0x40415b02333fe4af03d28cc63996c003eb0ebb2e,19.35
0x7800fc8ef1e2305659a98c62f97e3fc2b7ab33d7,18.79
0xa956dae89ec98e8066ec6a35ca46eac69c0213fb,17.80
0x2e1a0734030972f388a8b00de136a5fbcea57a76,17.13
0xc26dbd06984949a0efce1517925ca57a8d7a2c06,17.07
0x7d7049443b9197e2f6be64f3582b1f3313130597,16.82
0x1db75bbad5c1599fc7ca561a1b8a1a15ed49f341,16.14
0x1e02495ff97f1a77d0c96c253570e38ce18f6ed0,16.12
0xd608bcf2873ed7ae6f89037ed9f50f33f1d62aa0,15.44
0xad14e68b5721b67fdfb5472fee93b81dd449e513,15.12
0x28df76fae41b9940f0c1eb2e07a51ce2ed99d0f8,15.00
0x69ebd94f75444b22953c7a439f7ccef6d9e9be5a,14.82
0x9c9ca6ba803c4a4415c3a1f2c0fbf9ce0fa31735,14.57
0x19a2d273bf443adb7ce9ca17f1ca307c33d53f32,11.80
